"id","answer","query","d1A","d2A","d3A","d4A","d5A","d1B","d2B","d3B","d4B","d5B","DCGlzA","DCGlzB","DCGll2A","DCGll2B","DCGll3A","DCGll3B","DCGll5A","DCGll5B","DCGllA","DCGllB","DCGlnA","DCGlnB","DCGe2zA","DCGe2zB","DCGe2l2A","DCGe2l2B","DCGe2l3A","DCGe2l3B","DCGe2l5A","DCGe2l5B","DCGe2lA","DCGe2lB","DCGe2nA","DCGe2nB","DCGe3zA","DCGe3zB","DCGe3l2A","DCGe3l2B","DCGe3l3A","DCGe3l3B","DCGe3l5A","DCGe3l5B","DCGe3lA","DCGe3lB","DCGe3nA","DCGe3nB","DCGe5zA","DCGe5zB","DCGe5l2A","DCGe5l2B","DCGe5l3A","DCGe5l3B","DCGe5l5A","DCGe5l5B","DCGe5lA","DCGe5lB","DCGe5nA","DCGe5nB","DCGb1zA","DCGb1zB","DCGb1l2A","DCGb1l2B","DCGb1l3A","DCGb1l3B","DCGb1l5A","DCGb1l5B","DCGb1lA","DCGb1lB","DCGb1nA","DCGb1nB","DCGb2zA","DCGb2zB","DCGb2l2A","DCGb2l2B","DCGb2l3A","DCGb2l3B","DCGb2l5A","DCGb2l5B","DCGb2lA","DCGb2lB","DCGb2nA","DCGb2nB","comments"
11,"bad","e015354","b007040","d001659","b009623","e009863","e012061","e012061","d001837","d014542","d002981","d008733",0.099,0.219,0.139,0.17,0.161,0.137,0.178,0.118,0.1,0.167,0.2,0.1,0.066,0.146,0.092,0.113,0.107,0.091,0.119,0.079,0.067,0.111,0.133,0.067,0.049,0.109,0.069,0.085,0.081,0.068,0.089,0.059,0.05,0.083,0.1,0.05,0.033,0.073,0.046,0.057,0.054,0.046,0.059,0.039,0.033,0.056,0.067,0.033,0.197,0.438,0.277,0.339,0.322,0.274,0.356,0.236,0.2,0.333,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,""
12,"b","b008450","b003088","b010250","b017421","b018313","b005542","b019036","b014615","d017831","b015604","b013972",0.507,0.854,0.588,0.83,0.642,0.813,0.672,0.805,0.6,0.8,0.7,0.8,0.489,0.854,0.563,0.83,0.614,0.813,0.642,0.805,0.578,0.8,0.667,0.8,0.48,0.854,0.551,0.83,0.6,0.813,0.627,0.805,0.567,0.8,0.65,0.8,0.471,0.854,0.539,0.83,0.586,0.813,0.611,0.805,0.556,0.8,0.633,0.8,0.562,0.854,0.661,0.83,0.726,0.813,0.764,0.805,0.667,0.8,0.8,0.8,0.453,0.854,0.515,0.83,0.558,0.813,0.581,0.805,0.533,0.8,0.6,0.8,""
13,"a","b009057","a004042","a004219","b019478","d004770","f008882","b005077","a005541","b011000","d004770","e001769",0.599,0.153,0.555,0.173,0.522,0.186,0.507,0.193,0.5,0.167,0.5,0.2,0.574,0.102,0.527,0.115,0.491,0.124,0.475,0.128,0.467,0.111,0.467,0.133,0.562,0.077,0.513,0.086,0.475,0.093,0.458,0.096,0.45,0.083,0.45,0.1,0.55,0.051,0.499,0.058,0.459,0.062,0.442,0.064,0.433,0.056,0.433,0.067,0.672,0.307,0.64,0.345,0.615,0.372,0.605,0.385,0.6,0.333,0.6,0.4,0.526,0,0.47,0,0.428,0,0.409,0,0.4,0,0.4,0,""
14,"b","b015999","b004111","f002672","a004683","d016702","b000539","a009176","b013481","b007208","b000539","a004279",0.117,0.945,0.15,0.927,0.171,0.916,0.184,0.909,0.133,0.933,0.2,0.9,0.078,0.927,0.1,0.903,0.114,0.888,0.123,0.878,0.089,0.911,0.133,0.867,0.058,0.918,0.075,0.89,0.085,0.874,0.092,0.863,0.067,0.9,0.1,0.85,0.039,0.909,0.05,0.878,0.057,0.86,0.061,0.848,0.044,0.889,0.067,0.833,0.234,1,0.301,1,0.341,1,0.369,1,0.267,1,0.4,1,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,""
15,"a","e001113","e010865","e017028","e002851","e010303","e009227","b014892","e007623","e002851","e004251","e007763",0.434,0.237,0.503,0.265,0.549,0.286,0.575,0.295,0.5,0.3,0.6,0.3,0.392,0.158,0.45,0.177,0.49,0.191,0.511,0.197,0.444,0.2,0.533,0.2,0.37,0.119,0.424,0.132,0.46,0.143,0.48,0.148,0.417,0.15,0.5,0.15,0.349,0.079,0.398,0.088,0.431,0.095,0.448,0.098,0.389,0.1,0.467,0.1,0.562,0.474,0.661,0.53,0.726,0.572,0.764,0.591,0.667,0.6,0.8,0.6,0.307,0,0.345,0,0.372,0,0.385,0,0.333,0,0.4,0,""
16,"b","b002842","b011701","b003699","b000579","b013943","b012144","b002824","b000579","b009935","b019899","b012144",0.474,0.766,0.485,0.699,0.492,0.659,0.496,0.631,0.5,0.733,0.5,0.6,0.401,0.766,0.429,0.699,0.446,0.659,0.457,0.631,0.444,0.733,0.467,0.6,0.365,0.766,0.4,0.699,0.423,0.659,0.437,0.631,0.417,0.733,0.45,0.6,0.328,0.766,0.372,0.699,0.4,0.659,0.418,0.631,0.389,0.733,0.433,0.6,0.693,0.766,0.655,0.699,0.628,0.659,0.615,0.631,0.667,0.733,0.6,0.6,0.255,0.766,0.316,0.699,0.355,0.659,0.378,0.631,0.333,0.733,0.4,0.6,""
17,"a","e012026","e005508","e019574","a006733","e015042","e005737","d013555","e000208","b004809","d015108","e001639",0.945,0.044,0.927,0.066,0.916,0.077,0.909,0.087,0.933,0.033,0.9,0.1,0.927,0.029,0.903,0.044,0.888,0.052,0.878,0.058,0.911,0.022,0.867,0.067,0.918,0.022,0.89,0.033,0.874,0.039,0.863,0.043,0.9,0.017,0.85,0.05,0.909,0.015,0.878,0.022,0.86,0.026,0.848,0.029,0.889,0.011,0.833,0.033,1,0.088,1,0.131,1,0.155,1,0.173,1,0.067,1,0.2,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,""
18,"b","a007956","b016317","d007985","e016584","b001977","b001903","a003009","a004537","b016317","a009434","a003760",0.055,0.701,0.073,0.658,0.084,0.627,0.091,0.612,0.067,0.633,0.1,0.6,0.036,0.65,0.049,0.6,0.056,0.565,0.061,0.548,0.044,0.578,0.067,0.533,0.027,0.624,0.037,0.572,0.042,0.534,0.046,0.516,0.033,0.55,0.05,0.5,0.018,0.599,0.024,0.543,0.028,0.504,0.03,0.483,0.022,0.522,0.033,0.467,0.109,0.854,0.146,0.83,0.168,0.813,0.183,0.805,0.133,0.8,0.2,0.8,0,0.547,0,0.485,0,0.442,0,0.419,0,0.467,0,0.4,""
19,"a","f019182","b019940","f009119","b003438","a007776","b012580","a006836","a001758","f003305","b008777","a009930",1,0.153,1,0.173,1,0.186,1,0.193,1,0.167,1,0.2,1,0.102,1,0.115,1,0.124,1,0.128,1,0.111,1,0.133,1,0.077,1,0.086,1,0.093,1,0.096,1,0.083,1,0.1,1,0.051,1,0.058,1,0.062,1,0.064,1,0.056,1,0.067,1,0.307,1,0.345,1,0.372,1,0.385,1,0.333,1,0.4,1,0,1,0,1,0,1,0,1,0,1,0,""
20,"bad","d015538","b006000","d014770","d016983","a009028","d006630","f003806","d008835","d017096","b008274","e005819",0.409,0.474,0.449,0.446,0.481,0.432,0.494,0.42,0.5,0.5,0.5,0.4,0.394,0.365,0.427,0.354,0.455,0.35,0.465,0.345,0.489,0.4,0.467,0.333,0.387,0.31,0.416,0.308,0.442,0.31,0.451,0.308,0.483,0.35,0.45,0.3,0.38,0.255,0.405,0.262,0.43,0.269,0.437,0.27,0.478,0.3,0.433,0.267,0.453,0.803,0.515,0.723,0.558,0.678,0.581,0.644,0.533,0.8,0.6,0.6,0.365,0.146,0.384,0.17,0.404,0.187,0.408,0.195,0.467,0.2,0.4,0.2,""
21,"a","e000111","e008527","e009092","b012177","e015773","e008691","f005072","a005142","f012051","d009318","d004340",1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,""
22,"bad","d013745","e000157","e019606","d008107","e015794","a002745","a006714","e000157","d019886","d012150","b003091",0.146,0.255,0.17,0.316,0.187,0.355,0.195,0.378,0.2,0.333,0.2,0.4,0.146,0.255,0.17,0.316,0.187,0.355,0.195,0.378,0.2,0.333,0.2,0.4,0.146,0.255,0.17,0.316,0.187,0.355,0.195,0.378,0.2,0.333,0.2,0.4,0.146,0.255,0.17,0.316,0.187,0.355,0.195,0.378,0.2,0.333,0.2,0.4,0.146,0.255,0.17,0.316,0.187,0.355,0.195,0.378,0.2,0.333,0.2,0.4,0.146,0.255,0.17,0.316,0.187,0.355,0.195,0.378,0.2,0.333,0.2,0.4,""
23,"good","d011054","d014025","d009727","d018305","f018193","d006484","b014389","a008138","a005730","f018193","e006320",0.628,0,0.619,0,0.618,0,0.612,0,0.667,0,0.6,0,0.54,0,0.54,0,0.547,0,0.544,0,0.6,0,0.533,0,0.496,0,0.501,0,0.511,0,0.51,0,0.567,0,0.5,0,0.453,0,0.462,0,0.475,0,0.476,0,0.533,0,0.467,0,0.891,0,0.854,0,0.832,0,0.817,0,0.867,0,0.8,0,0.365,0,0.384,0,0.404,0,0.408,0,0.467,0,0.4,0,""
24,"b","a005341","b002586","b000119","a004932","a001159","d017690","a000369","b010768","b002397","b011366","a007254",0.365,0.945,0.339,0.927,0.324,0.916,0.314,0.909,0.367,0.933,0.3,0.9,0.292,0.927,0.283,0.903,0.278,0.888,0.274,0.878,0.311,0.911,0.267,0.867,0.255,0.918,0.254,0.89,0.255,0.874,0.255,0.863,0.283,0.9,0.25,0.85,0.219,0.909,0.226,0.878,0.232,0.86,0.235,0.848,0.256,0.889,0.233,0.833,0.584,1,0.509,1,0.461,1,0.432,1,0.533,1,0.4,1,0.146,0.891,0.17,0.854,0.187,0.832,0.195,0.817,0.2,0.867,0.2,0.8,""
25,"a","b014327","b007707","b018366","b008258","b002091","b017064","a005660","b007790","f011610","b012031","a000811",0.73,0.281,0.638,0.33,0.584,0.363,0.546,0.382,0.7,0.333,0.5,0.4,0.706,0.187,0.61,0.22,0.553,0.242,0.514,0.255,0.667,0.222,0.467,0.267,0.693,0.141,0.596,0.165,0.537,0.182,0.497,0.191,0.65,0.167,0.45,0.2,0.681,0.094,0.581,0.11,0.522,0.121,0.481,0.127,0.633,0.111,0.433,0.133,0.803,0.562,0.723,0.661,0.678,0.726,0.644,0.764,0.8,0.667,0.6,0.8,0.657,0,0.553,0,0.491,0,0.449,0,0.6,0,0.4,0,""
26,"b","d009750","f012842","d017621","b009534","d007831","d010508","d019560","d019225","d000314","d001140","e012443",0.372,0.912,0.426,0.869,0.462,0.845,0.482,0.827,0.433,0.933,0.5,0.8,0.358,0.912,0.404,0.869,0.436,0.845,0.453,0.827,0.422,0.933,0.467,0.8,0.35,0.912,0.393,0.869,0.423,0.845,0.438,0.827,0.417,0.933,0.45,0.8,0.343,0.912,0.382,0.869,0.411,0.845,0.424,0.827,0.411,0.933,0.433,0.8,0.416,0.912,0.491,0.869,0.539,0.845,0.568,0.827,0.467,0.933,0.6,0.8,0.328,0.912,0.36,0.869,0.385,0.845,0.395,0.827,0.4,0.933,0.4,0.8,""
27,"good","b002842","b003334","f007197","b015055","b011701","b011419","d004770","b012862","a001120","b010239","b007873",0.682,0.281,0.692,0.33,0.702,0.363,0.704,0.382,0.733,0.333,0.7,0.4,0.577,0.187,0.589,0.22,0.603,0.242,0.605,0.255,0.644,0.222,0.6,0.267,0.524,0.141,0.538,0.165,0.553,0.182,0.556,0.191,0.6,0.167,0.55,0.2,0.471,0.094,0.486,0.11,0.503,0.121,0.506,0.127,0.556,0.111,0.5,0.133,1,0.562,1,0.661,1,0.726,1,0.764,1,0.667,1,0.8,0.365,0,0.384,0,0.404,0,0.408,0,0.467,0,0.4,0,"Nope."
28,"good","e013942","e002942","e006415","e003791","e012073","e010745","e012073","e003791","e015773","e004004","e001971",0.073,0.226,0.085,0.257,0.093,0.279,0.098,0.29,0.1,0.267,0.1,0.3,0.049,0.151,0.057,0.172,0.062,0.186,0.065,0.194,0.067,0.178,0.067,0.2,0.036,0.113,0.042,0.129,0.047,0.14,0.049,0.145,0.05,0.133,0.05,0.15,0.024,0.075,0.028,0.086,0.031,0.093,0.033,0.097,0.033,0.089,0.033,0.1,0.146,0.453,0.17,0.515,0.187,0.558,0.195,0.581,0.2,0.533,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,""
29,"bad","e011607","e005765","e019206","b004334","e005432","b007218","e010983","e010285","b010269","b010445","e000075",0.493,0.336,0.412,0.32,0.358,0.308,0.328,0.302,0.4,0.3,0.3,0.3,0.474,0.224,0.388,0.213,0.33,0.205,0.297,0.202,0.378,0.2,0.267,0.2,0.465,0.168,0.376,0.16,0.316,0.154,0.282,0.151,0.367,0.15,0.25,0.15,0.456,0.112,0.364,0.107,0.302,0.103,0.267,0.101,0.356,0.1,0.233,0.1,0.547,0.672,0.485,0.64,0.442,0.615,0.419,0.605,0.467,0.6,0.4,0.6,0.438,0,0.339,0,0.274,0,0.236,0,0.333,0,0.2,0,""
30,"b","e003659","e019706","e010121","e007272","e011805","d003005","e017290","e001054","e014148","e006260","e003802",0.474,0.584,0.446,0.553,0.432,0.541,0.42,0.526,0.5,0.633,0.4,0.5,0.365,0.511,0.354,0.497,0.35,0.495,0.345,0.486,0.4,0.578,0.333,0.467,0.31,0.474,0.308,0.468,0.31,0.472,0.308,0.467,0.35,0.55,0.3,0.45,0.255,0.438,0.262,0.44,0.269,0.449,0.27,0.447,0.3,0.522,0.267,0.433,0.803,0.803,0.723,0.723,0.678,0.678,0.644,0.644,0.8,0.8,0.6,0.6,0.146,0.365,0.17,0.384,0.187,0.404,0.195,0.408,0.2,0.467,0.2,0.4,""
31,"bad","b011257","b016681","d011789","b014783","b015961","b004419","d017162","b002836","b015566","b005034","b001612",0.434,0.336,0.459,0.403,0.469,0.447,0.48,0.473,0.4,0.4,0.5,0.5,0.319,0.26,0.349,0.318,0.364,0.354,0.378,0.376,0.289,0.311,0.4,0.4,0.261,0.223,0.295,0.275,0.312,0.307,0.327,0.328,0.233,0.267,0.35,0.35,0.203,0.185,0.24,0.232,0.259,0.261,0.276,0.28,0.178,0.222,0.3,0.3,0.781,0.562,0.786,0.661,0.783,0.726,0.788,0.764,0.733,0.667,0.8,0.8,0.088,0.109,0.131,0.146,0.155,0.168,0.173,0.183,0.067,0.133,0.2,0.2,""
32,"good","b001529","b010438","b002586","b019667","b014618","a005875","b003052","a005405","b004913","b002586","a004127",0,0.482,0,0.449,0,0.431,0,0.417,0,0.467,0,0.4,0,0.394,0,0.371,0,0.36,0,0.349,0,0.4,0,0.333,0,0.35,0,0.332,0,0.324,0,0.315,0,0.367,0,0.3,0,0.307,0,0.292,0,0.288,0,0.28,0,0.333,0,0.267,0,0.745,0,0.684,0,0.645,0,0.622,0,0.667,0,0.6,0,0.219,0,0.214,0,0.217,0,0.212,0,0.267,0,0.2,"BOTH ARE GOOD"
33,"good","d015395","d012566","d015484","d002813","d011612","b000539","d016915","d008174","d008265","d016516","d012566",0.912,0.818,0.869,0.808,0.845,0.798,0.827,0.796,0.933,0.767,0.8,0.8,0.912,0.757,0.869,0.744,0.845,0.731,0.827,0.728,0.933,0.689,0.8,0.733,0.912,0.726,0.869,0.712,0.845,0.697,0.827,0.694,0.933,0.65,0.8,0.7,0.912,0.696,0.869,0.68,0.845,0.663,0.827,0.66,0.933,0.611,0.8,0.667,0.912,1,0.869,1,0.845,1,0.827,1,0.933,1,0.8,1,0.912,0.635,0.869,0.616,0.845,0.596,0.827,0.592,0.933,0.533,0.8,0.6,""
34,"good","d010380","d015418","d005688","d000318","d002981","d004377","d013698","d014542","d010448","d016574","d016473",0.664,0.927,0.68,0.915,0.692,0.907,0.698,0.902,0.7,0.9,0.7,0.9,0.552,0.903,0.573,0.887,0.59,0.875,0.597,0.87,0.6,0.867,0.6,0.867,0.496,0.891,0.52,0.873,0.539,0.86,0.546,0.853,0.55,0.85,0.55,0.85,0.44,0.878,0.467,0.859,0.487,0.844,0.496,0.837,0.5,0.833,0.5,0.833,1,1,1,1,1,1,1,1,1,1,1,1,0.328,0.854,0.36,0.83,0.385,0.813,0.395,0.805,0.4,0.8,0.4,0.8,""
35,"bad","b015503","b011391","f014755","a005631","b002946","b017064","d008855","f008391","a005142","b007008","d002389",0.456,0,0.434,0,0.423,0,0.413,0,0.467,0,0.4,0,0.304,0,0.29,0,0.282,0,0.276,0,0.311,0,0.267,0,0.228,0,0.217,0,0.211,0,0.207,0,0.233,0,0.2,0,0.152,0,0.145,0,0.141,0,0.138,0,0.156,0,0.133,0,0.912,0,0.869,0,0.845,0,0.827,0,0.933,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,""
36,"bad","a000470","e006114","b005826","e006071","b000459","e002524","b015388","e015155","d019571","a005360","e006114",0.044,0.328,0.066,0.277,0.077,0.245,0.087,0.224,0.033,0.3,0.1,0.2,0.029,0.219,0.044,0.184,0.052,0.164,0.058,0.15,0.022,0.2,0.067,0.133,0.022,0.164,0.033,0.138,0.039,0.123,0.043,0.112,0.017,0.15,0.05,0.1,0.015,0.109,0.022,0.092,0.026,0.082,0.029,0.075,0.011,0.1,0.033,0.067,0.088,0.657,0.131,0.553,0.155,0.491,0.173,0.449,0.067,0.6,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,""
37,"a","b018710","b015528","b010934","a004412","a002730","b009791","e010889","b013293","b004505","e004752","a004279",0.945,0.234,0.927,0.301,0.916,0.341,0.909,0.369,0.933,0.267,0.9,0.4,0.927,0.234,0.903,0.301,0.888,0.341,0.878,0.369,0.911,0.267,0.867,0.4,0.918,0.234,0.89,0.301,0.874,0.341,0.863,0.369,0.9,0.267,0.85,0.4,0.909,0.234,0.878,0.301,0.86,0.341,0.848,0.369,0.889,0.267,0.833,0.4,1,0.234,1,0.301,1,0.341,1,0.369,1,0.267,1,0.4,0.891,0.234,0.854,0.301,0.832,0.341,0.817,0.369,0.867,0.267,0.8,0.4,""
38,"b","d005430","d015036","d013849","d003336","d019732","d008659","d004990","d012238","d011804","d016702","d007256",0.128,1,0.158,1,0.177,1,0.189,1,0.167,1,0.2,1,0.085,1,0.105,1,0.118,1,0.126,1,0.111,1,0.133,1,0.064,1,0.079,1,0.089,1,0.095,1,0.083,1,0.1,1,0.043,1,0.053,1,0.059,1,0.063,1,0.056,1,0.067,1,0.255,1,0.316,1,0.355,1,0.378,1,0.333,1,0.4,1,0,1,0,1,0,1,0,1,0,1,0,1,"Nope."
39,"a","b008224","e006065","b017780","b006888","e008260","b000947","e006019","e001348","b012076","e016723","e009742",0.434,0.215,0.503,0.289,0.549,0.332,0.575,0.362,0.5,0.233,0.6,0.4,0.392,0.173,0.45,0.236,0.49,0.273,0.511,0.299,0.444,0.178,0.533,0.333,0.37,0.151,0.424,0.21,0.46,0.243,0.48,0.268,0.417,0.15,0.5,0.3,0.349,0.13,0.398,0.184,0.431,0.214,0.448,0.236,0.389,0.122,0.467,0.267,0.562,0.343,0.661,0.447,0.726,0.509,0.764,0.551,0.667,0.4,0.8,0.6,0.307,0.088,0.345,0.131,0.372,0.155,0.385,0.173,0.333,0.067,0.4,0.2,""
40,"bad","e010700","b006906","e010358","b001098","b001408","e008850","b015548","e014252","b014784","b012666","b001098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""
41,"good","d003313","d004542","d015817","d007452","d001431","d000526","d007452","d019125","d001431","d000526","d003005",0.945,0.883,0.927,0.85,0.916,0.829,0.909,0.816,0.933,0.867,0.9,0.8,0.927,0.844,0.903,0.799,0.888,0.772,0.878,0.754,0.911,0.822,0.867,0.733,0.918,0.825,0.89,0.774,0.874,0.744,0.863,0.724,0.9,0.8,0.85,0.7,0.909,0.805,0.878,0.749,0.86,0.715,0.848,0.693,0.889,0.778,0.833,0.667,1,1,1,1,1,1,1,1,1,1,1,1,0.891,0.766,0.854,0.699,0.832,0.659,0.817,0.631,0.867,0.733,0.8,0.6,""
